trg_herbereken_kostprijs_delete	DELETE	gerecht_componenten	AFTER	EXECUTE FUNCTION herbereken_gerecht_kostprijs()
trg_herbereken_kostprijs_insert	INSERT	gerecht_componenten	AFTER	EXECUTE FUNCTION herbereken_gerecht_kostprijs()
trg_herbereken_kostprijs_update	UPDATE	gerecht_componenten	AFTER	EXECUTE FUNCTION herbereken_gerecht_kostprijs()
trg_validate_gerecht_component	UPDATE	gerecht_componenten	BEFORE	EXECUTE FUNCTION validate_gerecht_component()
trg_validate_gerecht_component	INSERT	gerecht_componenten	BEFORE	EXECUTE FUNCTION validate_gerecht_component()
trg_herbereken_marge	UPDATE	gerechten	BEFORE	EXECUTE FUNCTION herbereken_gerecht_marge()
update_gerechten_updated_at	UPDATE	gerechten	BEFORE	EXECUTE FUNCTION update_updated_at_column()
goods_receipt_lines_updated_at	UPDATE	goods_receipt_lines	BEFORE	EXECUTE FUNCTION update_updated_at_column()
log_ai_correction_goods_receipt_lines	UPDATE	goods_receipt_lines	AFTER	EXECUTE FUNCTION log_ai_correction_on_receipt_line()
goods_receipts_updated_at	UPDATE	goods_receipts	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_auto_seed_yield	INSERT	halffabricaat_methodes	AFTER	EXECUTE FUNCTION ensure_yield_for_new_methode()
trg_validate_halffabricaat_methodes	INSERT	halffabricaat_methodes	BEFORE	EXECUTE FUNCTION validate_halffabricaat_methodes()
trg_validate_halffabricaat_methodes	UPDATE	halffabricaat_methodes	BEFORE	EXECUTE FUNCTION validate_halffabricaat_methodes()
trg_validate_ingredient_alias_bron	INSERT	ingredient_aliassen	BEFORE	EXECUTE FUNCTION validate_alias_bron()
trg_validate_ingredient_alias_bron	UPDATE	ingredient_aliassen	BEFORE	EXECUTE FUNCTION validate_alias_bron()
update_ingredient_aliassen_updated_at	UPDATE	ingredient_aliassen	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_ingredient_allergenen	INSERT	ingredient_allergenen	BEFORE	EXECUTE FUNCTION validate_ingredient_allergenen()
trg_validate_ingredient_allergenen	UPDATE	ingredient_allergenen	BEFORE	EXECUTE FUNCTION validate_ingredient_allergenen()
trg_ingredient_packagings_updated	UPDATE	ingredient_packagings	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_ingredienten	INSERT	ingredienten	BEFORE	EXECUTE FUNCTION validate_ingredienten()
trg_validate_ingredienten	UPDATE	ingredienten	BEFORE	EXECUTE FUNCTION validate_ingredienten()
update_ingredienten_updated_at	UPDATE	ingredienten	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_interne_bestelling_updated_at	UPDATE	interne_bestellingen	BEFORE	EXECUTE FUNCTION update_interne_bestelling_updated_at()
trg_process_interne_bestelling	UPDATE	interne_bestellingen	BEFORE	EXECUTE FUNCTION process_interne_bestelling()
trg_validate_interne_bestelling_status	INSERT	interne_bestellingen	BEFORE	EXECUTE FUNCTION validate_interne_bestelling_status()
trg_validate_interne_bestelling_status	UPDATE	interne_bestellingen	BEFORE	EXECUTE FUNCTION validate_interne_bestelling_status()
set_updated_at_knowledge_base	UPDATE	knowledge_base	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_knowledge_base_source	INSERT	knowledge_base	BEFORE	EXECUTE FUNCTION validate_knowledge_base_source()
trg_validate_knowledge_base_source	UPDATE	knowledge_base	BEFORE	EXECUTE FUNCTION validate_knowledge_base_source()
trg_validate_leverancier_alias_bron	UPDATE	leverancier_aliassen	BEFORE	EXECUTE FUNCTION validate_alias_bron()
trg_validate_leverancier_alias_bron	INSERT	leverancier_aliassen	BEFORE	EXECUTE FUNCTION validate_alias_bron()
update_leverancier_aliassen_updated_at	UPDATE	leverancier_aliassen	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_audit_leverancier_methode	UPDATE	leveranciers	AFTER	EXECUTE FUNCTION audit_leverancier_methode_change()
trg_guard_leverancier_methode	UPDATE	leveranciers	BEFORE	EXECUTE FUNCTION guard_leverancier_methode_change()
trg_validate_leverancier_koppeling_type	UPDATE	leveranciers	BEFORE	EXECUTE FUNCTION validate_leverancier_koppeling_type()
trg_validate_leverancier_koppeling_type	INSERT	leveranciers	BEFORE	EXECUTE FUNCTION validate_leverancier_koppeling_type()
update_leveranciers_updated_at	UPDATE	leveranciers	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_recalc_ingredient_kostprijs	INSERT	leveranciers_artikelen	AFTER	EXECUTE FUNCTION recalc_ingredient_kostprijs()
trg_recalc_ingredient_kostprijs	UPDATE	leveranciers_artikelen	AFTER	EXECUTE FUNCTION recalc_ingredient_kostprijs()
trg_recalc_ingredient_kostprijs	DELETE	leveranciers_artikelen	AFTER	EXECUTE FUNCTION recalc_ingredient_kostprijs()
update_leveranciers_artikelen_updated_at	UPDATE	leveranciers_artikelen	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_operating_exception	INSERT	location_operating_exceptions	BEFORE	EXECUTE FUNCTION validate_operating_exception()
trg_validate_operating_exception	UPDATE	location_operating_exceptions	BEFORE	EXECUTE FUNCTION validate_operating_exception()
trg_loh_updated	UPDATE	location_operating_hours	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_location_subscriptions_updated_at	UPDATE	location_subscriptions	BEFORE	EXECUTE FUNCTION update_updated_at_column()
on_location_created	INSERT	locations	AFTER	EXECUTE FUNCTION create_default_entitlements()
trg_auto_create_default_ticket	INSERT	locations	AFTER	EXECUTE FUNCTION auto_create_default_ticket()
trg_auto_seed_onboarding_phases	INSERT	locations	AFTER	EXECUTE FUNCTION auto_seed_onboarding_phases()
trg_create_application_settings_for_new_location	INSERT	locations	AFTER	EXECUTE FUNCTION create_application_settings_for_new_location()
trg_validate_location_role	UPDATE	locations	BEFORE	EXECUTE FUNCTION validate_location_role()
trg_validate_location_role	INSERT	locations	BEFORE	EXECUTE FUNCTION validate_location_role()
update_locations_updated_at	UPDATE	locations	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_automation_flows_updated_at	UPDATE	marketing_automation_flows	BEFORE	EXECUTE FUNCTION update_updated_at_column()
trg_validate_learning_stage	UPDATE	marketing_brand_intelligence	BEFORE	EXECUTE FUNCTION validate_learning_stage()
trg_validate_learning_stage	INSERT	marketing_brand_intelligence	BEFORE	EXECUTE FUNCTION validate_learning_stage()
update_marketing_brand_kit_updated_at	UPDATE	marketing_brand_kit	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_campaign_analytics_updated_at	UPDATE	marketing_campaign_analytics	BEFORE	EXECUTE FUNCTION update_updated_at_column()
update_marketing_campaigns_updated_at	UPDATE	marketing_campaigns	BEFORE	EXECUTE FUNCTION update_updated_at_column()
