_seed_default_onboarding_phases	p_location_id uuid	void	DEFINER
advance_onboarding_phase	_candidate_id uuid, _user_id uuid	jsonb	DEFINER
apply_yield_correction	p_methode_id uuid, p_new_yield_pct numeric, p_effective_from timestamp with time zone DEFAULT now(), p_correction_reason text DEFAULT NULL::text	uuid	DEFINER
archive_area	_area_id uuid	jsonb	DEFINER
assign_best_table	_location_id uuid, _date date, _time text, _party_size integer, _duration_minutes integer, _shift_id uuid, _ticket_id uuid, _reservation_id uuid DEFAULT NULL::uuid, _preferred_area_id uuid DEFAULT NULL::uuid	jsonb	DEFINER
audit_bestelling_methode_change		trigger	DEFINER
audit_leverancier_methode_change		trigger	DEFINER
auto_create_default_ticket		trigger	INVOKER
auto_deplete_ingredients		trigger	DEFINER
auto_seed_onboarding_phases		trigger	DEFINER
cash_dist	money, money	money	INVOKER
check_group_activation_overlap		trigger	INVOKER
confirm_goods_receipt	_receipt_id uuid, _user_id uuid, _lines jsonb, _temp_gekoeld numeric DEFAULT NULL::numeric, _temp_vries numeric DEFAULT NULL::numeric, _temp_skip jsonb DEFAULT '{}'::jsonb	jsonb	DEFINER
count_segment_customers	_location_id uuid, _filter_rules jsonb	integer	DEFINER
create_application_settings_for_new_location		trigger	DEFINER
create_default_entitlements		trigger	DEFINER
create_reservation	_location_id uuid, _customer_id uuid DEFAULT NULL::uuid, _shift_id uuid DEFAULT NULL::uuid, _ticket_id uuid DEFAULT NULL::uuid, _reservation_date date DEFAULT NULL::date, _start_time time without time zone DEFAULT NULL::time without time zone, _party_size integer DEFAULT NULL::integer, _channel reservation_channel DEFAULT 'operator'::reservation_channel, _table_id uuid DEFAULT NULL::uuid, _guest_notes text DEFAULT NULL::text, _internal_notes text DEFAULT NULL::text, _initial_status reservation_status DEFAULT 'confirmed'::reservation_status, _squeeze boolean DEFAULT false, _actor_id uuid DEFAULT NULL::uuid	uuid	DEFINER
custom_access_token_hook	event jsonb	jsonb	DEFINER
date_dist	date, date	integer	INVOKER
default_voorraad_eenheid	p_categorie text	text	INVOKER
detect_empty_shifts		void	DEFINER
enforce_single_default_ticket		trigger	INVOKER
ensure_yield_for_new_methode		trigger	DEFINER
extend_option	_reservation_id uuid, _extra_hours integer DEFAULT 24, _actor_id uuid DEFAULT NULL::uuid	timestamp with time zone	DEFINER
float4_dist	real, real	real	INVOKER
float8_dist	double precision, double precision	double precision	INVOKER
fn_audit_reservation_update		trigger	DEFINER
fn_auto_mark_no_shows		integer	DEFINER
fn_auto_release_options		integer	DEFINER
fn_calculate_no_show_risk		trigger	DEFINER
fn_trigger_waitlist_on_cancel		trigger	DEFINER
fn_update_customer_stats		trigger	DEFINER
fn_validate_customer_contact		trigger	INVOKER
fn_validate_payment_status		trigger	INVOKER
fuzzy_match_ingredient	p_location_id uuid, p_naam text	TABLE(id uuid, naam text, eenheid text, kostprijs numeric, similarity real)	DEFINER
